"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Carnell Tate","TEN","WR40","1.0","4.5","0.0","66.0","897.1","4.3","1.4","113.2"
"Xavier Worthy","KC","WR41","17.2","111.0","0.8","54.2","713.4","4.3","0.2","112.4"
"Jayden Reed","GB","WR42","12.5","95.9","0.2","61.2","729.7","4.7","0.4","111.2"
"Isaiah Likely","NYG","TE10","0.0","0.0","0.0","66.4","791.7","5.6","1.3","110.2"
"Romeo Doubs","NE","WR43","0.0","0.0","0.0","57.8","747.5","6.0","0.3","110.0"
"Zach Charbonnet","SEA","RB41","131.7","530.0","6.9","20.2","152.4","0.2","0.7","109.8"
"Travis Kelce","KC","TE11","0.0","0.0","0.0","75.8","789.3","5.2","0.3","109.6"
"Makai Lemon","PHI","WR44","1.5","7.0","0.0","58.3","820.8","4.7","1.3","108.6"
"Chris Godwin Jr.","TB","WR45","0.5","0.5","0.0","67.6","771.0","5.3","0.3","108.3"
"Michael Wilson","ARI","WR46","0.0","1.0","0.0","66.5","804.8","4.6","0.2","107.9"
"Dalton Kincaid","BUF","TE12","0.0","0.0","0.0","59.1","729.7","5.7","0.2","106.8"
"Mark Andrews","BAL","TE13","0.0","0.0","0.0","57.0","588.9","8.1","0.3","106.7"
"Ricky Pearsall","SF","WR47","4.2","21.2","0.1","60.8","839.9","3.4","0.3","106.7"
"Michael Pittman Jr.","PIT","WR48","0.0","0.0","0.0","82.7","772.0","4.9","0.3","106.2"
"Isiah Pacheco","DET","RB42","152.4","647.2","3.9","21.6","134.7","0.9","0.8","105.5"
"George Kittle","SF","TE14","0.0","0.0","0.0","63.3","719.6","5.6","0.1","105.2"
"Woody Marks","HOU","RB43","146.5","570.1","3.0","22.6","189.6","2.2","0.8","105.2"
"Jonathon Brooks","CAR","RB44","149.2","593.0","3.5","23.2","184.9","1.1","1.3","102.8"
"Calvin Ridley","TEN","WR49","4.5","28.0","0.6","48.6","784.5","2.9","0.2","101.9"
"Matthew Golden","GB","WR50","8.2","40.9","0.1","55.4","746.4","3.9","0.4","101.7"
"Wan'Dale Robinson","TEN","WR51","3.0","14.2","0.1","83.9","826.0","3.0","0.3","101.6"
"Rashid Shaheed","SEA","WR52","13.4","88.8","0.3","45.9","698.1","3.7","0.8","101.1"
"Hunter Henry","NE","TE15","0.0","0.0","0.0","56.9","665.6","5.6","0.1","99.9"
"Khalil Shakir","BUF","WR53","1.7","8.3","0.1","72.5","739.5","4.3","0.8","99.6"
"Jake Ferguson","DAL","TE16","0.0","0.0","0.0","75.7","618.0","6.4","1.4","97.5"
"Theo Wease Jr.","MIA","WR54","2.0","8.0","0.0","48.0","684.0","5.0","1.0","97.2"
"Josh Downs","IND","WR55","2.1","6.4","0.0","76.8","715.3","4.3","0.8","96.8"
"Brenton Strange","JAC","TE17","0.0","0.0","0.0","64.5","701.1","4.5","0.2","96.6"
"Rashod Bateman","BAL","WR56","0.0","0.0","0.0","38.4","594.4","6.0","0.2","95.0"
"Tyjae Spears","TEN","RB45","97.6","387.0","3.4","48.8","320.8","0.8","0.7","94.3"
"Juwan Johnson","NO","TE18","0.0","0.0","0.0","66.7","751.4","3.4","1.3","92.7"
"Tre Tucker","LV","WR57","10.7","52.9","0.2","50.1","633.5","3.8","0.1","91.9"
"Tank Dell","HOU","WR58","10.2","48.8","0.1","50.0","632.7","3.8","0.2","91.4"
"Jalen Coker","CAR","WR59","0.0","0.0","0.0","56.9","684.5","4.1","0.8","91.3"
"Jerry Jeudy","CLE","WR60","0.5","2.0","0.0","54.7","746.6","2.9","0.7","90.5"
"Kenyon Sadiq","NYJ","TE19","0.0","0.0","0.0","56.9","609.7","5.2","0.7","90.5"
"John Metchie III","CAR","WR61","3.0","-4.0","0.0","64.0","599.0","5.0","0.0","89.9"
"KC Concepcion","CLE","WR62","4.2","22.4","0.1","55.6","707.6","3.1","1.3","89.8"
"Tyrone Tracy Jr.","NYG","RB46","121.0","514.5","2.2","24.0","182.9","1.3","0.8","89.1"
"Alvin Kamara","NO","RB47","120.2","481.2","2.2","35.2","232.3","0.9","0.6","88.8"
"Jayden Higgins","HOU","WR63","0.0","0.0","0.0","49.3","608.7","4.7","0.2","88.7"
"Chris Rodriguez Jr.","JAC","RB48","136.2","551.7","5.2","3.1","25.7","0.1","0.6","88.1"
"Jalen McMillan","TB","WR64","4.7","26.8","0.1","46.6","606.8","3.9","0.2","87.2"
"Omar Cooper Jr.","NYJ","WR65","2.1","12.5","0.1","53.4","644.6","3.8","1.3","86.3"
"Brian Robinson Jr.","ATL","RB49","129.3","563.9","4.3","6.9","43.2","0.1","0.7","86.1"
"Jauan Jennings","MIN","WR66","0.0","0.0","0.0","48.7","556.5","5.2","0.7","85.2"
"Jalen Nailor","LV","WR67","2.0","8.5","0.0","42.0","566.4","4.4","0.2","83.7"
