"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Breece Hall","NYJ","RB18","218.4","977.9","5.8","46.0","376.5","1.9","1.6","178.7"
"Kenneth Walker III","SEA","RB19","233.4","948.3","8.0","43.0","308.1","1.3","1.3","178.4"
"Amon-Ra St. Brown","DET","WR8","1.9","12.6","0.1","109.7","1,257.8","8.8","0.9","178.1"
"A.J. Brown","PHI","WR9","0.0","0.0","0.0","84.9","1,243.0","8.4","0.9","172.7"
"Tony Pollard","TEN","RB20","251.4","1,050.8","5.9","42.9","275.0","0.9","1.0","171.6"
"Drake London","ATL","WR10","0.3","2.0","0.0","95.7","1,231.1","8.2","0.6","171.3"
"TreVeyon Henderson","NE","RB21","222.7","968.6","6.3","36.6","284.3","1.8","1.7","170.3"
"Tyreek Hill","MIA","WR11","7.3","41.0","0.1","92.7","1,171.4","7.7","0.6","167.2"
"David Montgomery","DET","RB22","199.2","837.1","9.0","31.7","260.2","0.9","1.0","167.1"
"D'Andre Swift","CHI","RB23","237.6","963.2","6.1","36.6","283.2","1.2","1.1","166.6"
"Mike Evans","TB","WR12","0.0","0.0","0.0","79.8","1,073.5","10.0","0.5","166.2"
"Ladd McConkey","LAC","WR13","0.0","1.4","0.0","90.1","1,206.0","7.5","0.7","164.6"
"Tee Higgins","CIN","WR14","0.0","0.0","0.0","86.2","1,096.1","8.9","0.9","161.4"
"Terry McLaurin","WAS","WR15","1.1","4.8","0.0","84.3","1,122.0","8.2","0.9","160.4"
"Davante Adams","LAR","WR16","0.3","0.0","0.0","85.1","1,098.3","8.3","0.5","158.6"
"Aaron Jones Sr.","MIN","RB24","198.8","888.8","4.5","44.3","327.1","2.3","1.8","158.6"
"DK Metcalf","PIT","WR17","0.0","1.2","0.0","78.6","1,144.1","7.3","1.3","155.9"
"Xavier Worthy","KC","WR18","15.5","84.7","1.5","74.5","926.4","7.5","0.5","154.0"
"Marvin Harrison Jr.","ARI","WR19","0.0","3.2","0.0","78.7","1,087.2","7.6","1.0","152.7"
"RJ Harvey","DEN","RB25","192.4","827.7","5.8","35.3","269.9","1.7","1.3","152.0"
"Jaxon Smith-Njigba","SEA","WR20","2.7","20.9","0.0","93.1","1,110.7","6.6","0.6","151.6"
"Isiah Pacheco","KC","RB26","207.7","857.2","6.0","34.1","234.0","1.1","1.0","149.7"
"Brock Bowers","LV","TE1","0.0","8.0","0.0","105.1","1,115.4","6.1","0.5","148.1"
"Jameson Williams","DET","WR21","7.4","63.4","0.8","62.4","991.0","6.4","0.5","147.9"
"Zay Flowers","BAL","WR22","8.2","48.5","0.1","77.0","1,044.6","6.4","0.5","147.4"
"Kaleb Johnson","PIT","RB27","206.6","864.2","6.6","22.9","175.3","1.0","1.7","146.1"
"Courtland Sutton","DEN","WR23","0.0","0.2","0.0","76.6","1,016.6","7.6","0.9","145.6"
"Tyrone Tracy Jr.","NYG","RB28","192.7","830.6","5.4","36.0","268.2","1.1","1.6","145.5"
"George Kittle","SF","TE2","0.0","0.0","0.0","75.2","1,014.6","7.4","0.5","144.8"
"Calvin Ridley","TEN","WR24","5.6","33.4","0.3","71.4","1,045.0","6.0","0.9","144.0"
"DJ Moore","CHI","WR25","9.5","53.8","0.1","87.3","1,009.5","6.4","0.9","143.9"
"Garrett Wilson","NYJ","WR26","1.9","13.5","0.0","91.2","1,088.8","6.0","1.3","143.5"
"Tetairoa McMillan","CAR","WR27","0.5","7.6","0.0","80.7","1,047.5","6.4","1.2","141.8"
"George Pickens","DAL","WR28","1.0","6.2","0.0","69.6","1,018.8","6.4","0.9","139.4"
"Trey McBride","ARI","TE3","0.0","1.5","0.0","103.9","1,051.0","5.8","0.5","139.3"
"DeVonta Smith","PHI","WR29","0.3","1.2","0.0","81.2","977.2","7.0","0.5","138.9"
"Jerry Jeudy","CLE","WR30","0.3","4.8","0.0","82.8","1,121.9","4.2","0.6","136.9"
"Deebo Samuel Sr.","WAS","WR31","29.2","124.2","1.3","65.5","832.4","5.1","1.0","132.0"
"Jaylen Waddle","MIA","WR32","2.8","16.4","0.1","77.7","993.3","5.0","0.5","130.4"
"Jaylen Warren","PIT","RB29","148.9","666.0","3.6","49.8","361.3","1.2","1.1","129.1"
"Jacory Croskey-Merritt","WAS","RB30","163.9","693.6","5.8","22.7","179.4","1.3","0.9","128.1"
"Matthew Golden","GB","WR33","0.5","9.4","0.0","65.2","904.6","6.1","0.8","126.4"
"Travis Hunter","JAC","WR34","3.8","21.7","0.1","71.6","928.0","5.4","0.8","126.2"
"Rome Odunze","CHI","WR35","1.3","8.0","0.0","68.5","917.7","5.6","0.9","124.7"
"Ricky Pearsall","SF","WR36","7.0","54.0","0.3","63.4","851.5","5.5","0.6","124.2"
"Austin Ekeler","WAS","RB31","108.8","487.9","4.7","47.0","384.1","1.8","1.4","123.4"
"Jakobi Meyers","JAC","WR37","1.2","8.7","0.0","77.7","907.4","4.9","0.5","120.2"
"Sam LaPorta","DET","TE4","0.0","0.0","0.0","69.9","785.3","7.0","0.4","119.5"
"Zach Charbonnet","SEA","RB32","135.9","586.2","4.9","36.0","267.2","1.0","0.8","119.2"
"Chris Olave","NO","WR38","0.3","2.6","0.0","75.1","941.1","4.3","0.9","118.5"
"Keon Coleman","BUF","WR39","0.3","3.8","0.0","52.3","822.3","6.1","0.5","118.3"
"Cooper Kupp","SEA","WR40","1.3","9.2","0.0","74.9","846.5","5.6","0.6","118.1"
"J.K. Dobbins","DEN","RB33","147.2","655.3","4.8","29.6","189.7","1.2","1.2","118.0"
"Stefon Diggs","NE","WR41","1.3","6.8","0.2","77.5","854.4","5.3","0.5","118.0"
"Jordan Mason","MIN","RB34","164.2","755.5","4.7","16.2","118.4","0.5","0.7","117.1"
"Javonte Williams","DAL","RB35","167.4","641.6","4.4","34.3","219.9","0.9","0.6","116.6"
"Jauan Jennings","SF","WR42","2.4","10.8","0.1","65.4","850.7","5.1","0.6","116.2"
"Emeka Egbuka","TB","WR43","1.6","11.5","0.0","65.3","827.9","5.7","1.1","116.0"
"Rashid Shaheed","SEA","WR44","8.0","46.7","0.1","55.5","840.5","4.7","1.2","115.4"
"Mark Andrews","BAL","TE5","0.0","2.0","0.0","58.9","700.5","7.7","0.8","114.7"
"Jordan Addison","MIN","WR45","0.9","6.6","0.2","58.0","760.6","6.1","0.4","113.5"
"Rhamondre Stevenson","NE","RB36","153.0","620.8","5.0","27.8","176.8","1.1","1.5","113.2"
"Darnell Mooney","ATL","WR46","0.0","1.5","0.0","61.1","864.2","4.6","0.5","113.1"
"Travis Etienne Jr.","JAC","RB37","140.2","573.1","3.8","36.9","272.9","1.1","0.8","112.3"
"Michael Pittman Jr.","IND","WR47","0.3","2.0","0.0","78.1","884.3","4.2","0.9","112.2"
"Jayden Reed","GB","WR48","11.1","79.8","0.7","52.6","703.2","5.2","0.9","111.8"
"Joe Mixon","HOU","RB38","143.4","569.8","4.9","24.6","197.3","1.1","0.8","111.4"
"Chris Godwin Jr.","TB","WR49","1.6","8.1","0.0","67.6","784.6","5.1","0.6","109.0"
"Khalil Shakir","BUF","WR50","0.5","3.0","0.0","71.0","803.1","4.9","0.6","108.7"
"Travis Kelce","KC","TE6","0.0","0.5","0.0","81.3","776.3","5.3","0.9","107.7"
"Marvin Mims Jr.","DEN","WR51","11.9","49.7","0.1","52.8","697.8","5.4","0.6","106.6"
"Jerome Ford","CLE","RB39","142.7","589.0","3.1","34.3","238.4","1.1","0.8","106.3"
"Rashod Bateman","BAL","WR52","0.0","0.6","0.0","47.7","714.7","5.8","0.1","106.2"
"Rashee Rice","KC","WR53","0.8","4.1","0.0","61.9","733.1","5.4","0.6","104.9"
"Josh Downs","IND","WR54","0.3","5.8","0.0","69.0","767.3","4.5","0.5","103.4"
"T.J. Hockenson","MIN","TE7","0.0","0.0","0.0","72.6","762.5","4.6","0.5","102.7"
"David Njoku","CLE","TE8","0.0","0.0","0.0","76.3","736.8","4.9","0.8","101.6"
"Nick Chubb","HOU","RB40","133.6","565.8","4.8","11.9","90.7","1.0","0.5","98.8"
"Tank Bigsby","PHI","RB41","150.5","618.7","5.0","10.6","76.9","0.2","1.1","98.3"
"Cedric Tillman","CLE","WR55","0.7","0.8","0.0","58.0","734.0","4.1","0.9","96.4"
"Quinshon Judkins","CLE","RB42","127.0","543.7","3.6","21.7","168.3","0.9","1.2","96.1"
"Xavier Legette","CAR","WR56","6.2","30.6","0.1","60.1","678.1","4.3","0.5","96.0"
"Rachaad White","TB","RB43","104.6","420.7","2.7","35.7","269.8","2.1","1.3","95.3"
"Tyler Warren","IND","TE9","0.0","10.5","0.0","63.2","679.1","4.7","1.1","95.1"
"Cam Skattebo","NYG","RB44","122.3","523.4","3.5","23.8","185.0","1.0","1.2","95.0"
"Trey Benson","ARI","RB45","129.4","581.4","3.8","16.5","125.8","0.5","0.9","94.9"
"Marquise Brown","KC","WR57","0.3","2.0","0.0","55.4","682.7","4.4","0.2","94.3"
"Tucker Kraft","GB","TE10","0.0","0.0","0.0","55.5","653.6","4.8","0.8","92.6"
"Dylan Sampson","CLE","RB46","125.0","518.5","3.0","22.8","178.6","0.9","0.8","92.0"
"Keenan Allen","LAC","WR58","0.3","2.0","0.0","55.4","638.8","4.8","0.6","91.6"
"Christian Kirk","HOU","WR59","0.7","4.0","0.0","54.3","698.3","3.7","0.8","90.6"
"Kyle Pitts Sr.","ATL","TE11","0.0","0.0","0.0","51.2","648.4","4.2","0.1","90.2"
"Brandon Aiyuk","SF","WR60","0.0","0.8","0.0","45.0","685.8","3.7","0.5","90.0"
"Jaydon Blue","DAL","RB47","113.8","496.2","3.1","22.9","176.6","0.9","0.8","89.4"
"Jayden Higgins","HOU","WR61","0.7","4.0","0.0","50.0","663.6","3.9","0.4","89.3"
"DeMario Douglas","NE","WR62","2.1","15.9","0.0","60.8","646.4","3.5","0.2","87.0"
"Najee Harris","LAC","RB48","124.6","484.2","3.8","17.7","130.0","0.7","0.8","86.9"
"Tyler Allgeier","ATL","RB49","121.3","555.1","3.3","13.8","102.1","0.4","0.8","86.4"
"Evan Engram","DEN","TE12","0.0","0.0","0.0","70.4","628.1","4.2","0.9","86.2"
"Dallas Goedert","PHI","TE13","0.0","2.0","0.0","57.5","634.2","3.9","0.5","86.1"
"Ray Davis","BUF","RB50","114.6","485.6","3.7","12.4","105.6","1.0","0.8","85.2"
"Zach Ertz","WAS","TE14","0.0","0.0","0.0","58.3","540.9","5.1","0.1","84.7"
"Joshua Palmer","BUF","WR63","0.0","0.5","0.0","44.5","622.5","3.8","0.1","84.6"
"Romeo Doubs","GB","WR64","0.0","0.5","0.0","46.9","598.2","4.3","0.5","84.5"
"Dalton Kincaid","BUF","TE15","0.0","0.0","0.0","57.3","603.2","4.0","0.5","83.6"
"Jake Ferguson","DAL","TE16","0.0","0.0","0.0","67.9","621.0","3.8","1.3","82.4"
"Wan'Dale Robinson","NYG","WR65","2.0","15.8","0.0","69.2","625.7","3.1","0.5","82.2"
"Bhayshul Tuten","JAC","RB51","106.6","448.9","3.1","18.5","145.1","0.9","0.9","81.3"
"Hunter Henry","NE","TE17","0.0","0.0","0.0","54.4","568.5","3.9","0.4","79.3"
"Braelon Allen","NYJ","RB52","116.6","440.4","3.0","16.8","126.5","0.8","0.4","78.7"
"Michael Wilson","ARI","WR66","1.9","8.9","0.1","44.9","540.2","4.1","0.5","78.6"
"Colston Loveland","CHI","TE18","0.0","0.0","0.0","54.3","569.6","3.8","1.1","77.4"
"Tyler Lockett","LV","WR67","0.0","0.0","0.0","49.2","570.3","3.4","0.1","77.0"
"Calvin Austin III","PIT","WR68","2.3","11.8","0.1","41.0","547.6","3.5","0.5","76.0"
"Rico Dowdle","CAR","RB53","93.1","416.2","2.4","22.4","151.8","1.1","0.8","76.0"
"Luther Burden III","CHI","WR69","3.6","27.2","0.4","44.8","542.1","3.2","1.1","76.0"
"Cade Otton","TB","TE19","0.0","0.0","0.0","50.4","515.6","4.1","0.5","75.3"
"Tyjae Spears","TEN","RB54","83.1","335.3","2.5","28.4","212.0","1.0","0.5","74.9"
"Brenton Strange","JAC","TE20","0.0","0.0","0.0","55.2","548.8","3.5","0.5","74.9"
"Jonnu Smith","PIT","TE21","0.0","1.5","0.0","51.4","530.9","3.8","0.9","74.5"
"Alec Pierce","IND","WR70","0.0","0.0","0.0","31.1","536.5","3.5","0.1","74.3"
"Chig Okonkwo","TEN","TE22","0.0","3.0","0.0","56.5","563.5","3.2","0.8","74.3"
"Tre Harris","LAC","WR71","0.7","3.8","0.0","40.6","542.4","3.4","0.7","73.7"
"Isaiah Likely","BAL","TE23","0.0","0.0","0.0","39.5","468.3","4.6","0.7","73.2"
"Kendre Miller","NO","RB55","110.2","416.5","3.7","12.0","90.0","0.2","0.5","73.0"
"Darren Waller","MIA","TE24","0.0","0.0","0.0","49.0","540.8","3.1","0.1","72.7"
"Kareem Hunt","KC","RB56","80.8","323.1","3.3","21.3","149.2","0.8","0.1","71.8"
"Ollie Gordon II","MIA","RB57","96.7","410.2","3.4","12.4","94.9","0.5","1.1","71.6"
"Brian Robinson Jr.","SF","RB58","106.3","427.0","3.5","8.1","66.5","0.4","1.2","70.4"
"Quentin Johnston","LAC","WR72","1.7","7.3","0.0","34.4","452.0","4.1","0.4","69.8"
"Mike Gesicki","CIN","TE25","0.0","0.0","0.0","50.8","501.3","3.4","0.4","69.8"
"Darius Slayton","NYG","WR73","1.4","6.4","0.0","35.5","534.3","2.5","0.2","69.2"
"Dalton Schultz","HOU","TE26","0.0","0.0","0.0","48.8","503.8","3.2","0.4","68.6"
"DeAndre Hopkins","BAL","WR74","0.0","0.5","0.0","34.1","434.5","4.2","0.1","68.2"
"Mason Taylor","NYJ","TE27","0.0","0.0","0.0","51.5","518.0","3.0","0.8","68.2"
"Roschon Johnson","CHI","RB59","86.7","300.8","4.2","14.9","98.1","0.4","0.1","67.6"
"Juwan Johnson","NO","TE28","0.0","0.0","0.0","47.0","486.4","3.2","0.2","67.4"
"Pat Freiermuth","PIT","TE29","0.0","0.0","0.0","50.9","488.4","3.4","0.9","67.4"
"Josh Reynolds","NYJ","WR75","0.0","0.0","0.0","37.1","483.7","3.2","0.1","67.3"
"Theo Johnson","NYG","TE30","0.0","0.0","0.0","46.5","507.7","2.8","0.1","67.3"
"Jaylen Wright","MIA","RB60","108.2","426.9","2.8","10.5","71.2","0.5","1.1","67.0"
"Tutu Atwell","LAR","WR76","4.3","20.2","0.1","39.9","507.9","2.2","0.1","66.4"
"Nick Westbrook-Ikhine","MIA","WR77","0.0","1.3","0.0","31.3","427.2","3.7","0.1","64.7"
"Tyler Higbee","LAR","TE31","0.0","0.0","0.0","45.2","423.9","3.7","0.1","64.2"
"Jalen Tolbert","DAL","WR78","0.0","0.0","0.0","35.7","422.0","3.6","0.1","63.5"
"Troy Franklin","DEN","WR79","1.1","6.1","0.0","34.6","434.2","3.3","0.1","63.5"
"Jalen Coker","CAR","WR80","0.0","2.3","0.0","38.9","487.9","2.4","0.1","63.3"
"Tory Horton","SEA","WR81","1.0","8.0","0.0","36.8","485.5","2.5","1.0","62.1"
"Dyami Brown","JAC","WR82","0.7","6.8","0.0","35.7","455.0","2.5","0.5","60.4"
"Pat Bryant","DEN","WR83","0.0","0.0","0.0","34.2","416.6","3.1","0.1","59.8"
"Andrei Iosivas","CIN","WR84","0.0","0.0","0.0","31.2","379.2","3.7","0.1","59.7"
"Blake Corum","LAR","RB61","93.4","347.4","2.3","12.6","93.1","0.3","0.4","59.1"
"Kyle Williams","NE","WR85","2.1","13.3","0.0","33.5","428.5","2.5","0.4","58.7"
"Kayshon Boutte","NE","WR86","0.0","0.0","0.0","31.9","428.1","2.7","0.1","58.7"
"Elijah Arroyo","SEA","TE32","0.0","0.0","0.0","40.0","424.1","2.8","0.4","58.6"
"Ja'Tavion Sanders","CAR","TE33","0.0","0.0","0.0","44.2","442.4","2.4","0.1","58.5"
"MarShawn Lloyd","GB","RB62","87.5","313.9","2.5","11.0","88.3","0.6","0.4","58.3"
"Justice Hill","BAL","RB63","41.9","185.3","1.2","27.3","221.2","1.7","0.4","56.6"
"Noah Brown","WAS","WR87","0.0","0.0","0.0","33.8","434.1","2.2","0.1","56.2"
"Raheem Mostert","LV","RB64","77.2","278.3","2.4","16.3","121.0","0.6","0.8","56.1"
"Jordan Whittington","LAR","WR88","1.1","13.9","0.0","33.9","395.0","2.4","0.1","55.1"
"Elic Ayomanor","TEN","WR89","0.0","5.7","0.0","33.3","404.6","2.3","0.1","54.7"
"Keaton Mitchell","BAL","RB65","66.1","322.4","1.7","9.1","85.5","0.5","0.0","54.0"
"Tre Tucker","LV","WR90","5.6","31.6","0.3","28.4","359.4","2.1","0.1","53.9"
"Miles Sanders","DAL","RB66","92.8","342.5","2.0","10.0","61.9","0.3","0.5","53.7"
"Chris Rodriguez Jr.","WAS","RB67","70.4","318.3","2.9","5.3","40.3","0.1","0.4","53.5"
"Roman Wilson","PIT","WR91","0.0","0.0","0.0","30.3","378.5","2.6","0.1","53.1"
"Will Dissly","LAC","TE34","0.0","0.0","0.0","38.4","376.9","2.5","0.1","52.8"
"Noah Fant","CIN","TE35","0.0","0.0","0.0","37.2","381.0","2.4","0.1","52.7"
"Woody Marks","HOU","RB68","58.4","234.6","1.6","19.4","144.5","0.8","0.1","52.2"
"Tahj Brooks","CIN","RB69","66.1","266.1","2.1","12.4","103.6","0.7","1.0","51.8"
"Ty Johnson","BUF","RB70","45.2","206.0","0.9","15.1","165.3","1.5","0.1","51.4"
"Isaac TeSlaa","DET","WR92","0.0","0.0","0.0","28.4","375.3","2.3","0.1","51.3"
"Adonai Mitchell","NYJ","WR93","2.9","9.5","0.1","28.3","371.0","2.2","0.4","50.5"
"Greg Dortch","ARI","WR94","4.8","30.6","0.1","33.0","329.1","2.5","0.4","50.5"
"Christian Watson","GB","WR95","3.3","14.0","0.0","19.9","355.3","2.3","0.4","50.2"
"Dontayvion Wicks","GB","WR96","0.0","1.3","0.0","25.6","321.4","3.0","0.0","50.2"
"Samaje Perine","CIN","RB71","49.5","201.6","1.3","18.4","161.8","0.9","0.7","48.4"
"KaVontae Turpin","DAL","WR97","8.3","57.9","0.5","23.7","289.7","1.9","0.7","47.7"
"Noah Gray","KC","TE36","0.0","0.5","0.0","30.1","307.9","2.8","0.1","47.3"
"Brandin Cooks","BUF","WR98","1.7","1.8","0.0","28.5","325.1","2.4","0.1","46.8"
"Jamari Thrash","CLE","WR99","0.0","0.0","0.0","29.5","355.8","1.9","0.1","46.7"
"Zamir White","LV","RB72","67.9","263.3","1.6","11.5","80.5","0.4","0.1","46.0"
"Tyler Conklin","LAC","TE37","0.0","0.0","0.0","33.5","324.6","2.3","0.0","45.9"
"Kyle Monangai","CHI","RB73","44.3","265.6","2.4","6.4","45.5","0.1","0.1","45.7"
"Curtis Samuel","BUF","WR100","6.6","29.3","0.1","26.9","271.9","2.5","0.1","45.5"
"AJ Barner","SEA","TE38","0.0","0.0","0.0","32.3","305.6","2.4","0.1","44.8"
"Dont'e Thornton Jr.","LV","WR101","0.0","2.0","0.0","24.9","324.6","2.0","0.1","44.6"
"Jarquez Hunter","LAR","RB74","61.6","250.9","2.0","7.1","61.3","0.4","0.7","44.4"
"Jalen Nailor","MIN","WR102","1.8","3.1","0.0","21.0","285.6","2.6","0.4","43.8"
"Antonio Gibson","NE","RB75","50.6","213.4","1.0","16.4","133.2","0.5","0.0","43.6"
"Devin Neal","NO","RB76","53.6","247.8","1.7","8.3","61.6","0.4","0.1","43.3"
"Kenneth Gainwell","PIT","RB77","59.5","229.6","1.6","12.7","89.7","0.4","0.4","43.3"
"Malik Washington","MIA","WR103","2.0","13.8","0.1","30.0","313.0","1.8","0.6","42.9"
"Isaac Guerendo","SF","RB78","50.1","239.7","1.9","7.5","67.2","0.1","0.4","41.8"
"Van Jefferson","TEN","WR104","0.0","0.0","0.0","23.6","303.8","1.9","0.1","41.6"
"Harold Fannin Jr.","CLE","TE39","0.0","0.0","0.0","30.7","303.4","1.8","0.4","40.2"
"Cole Kmet","CHI","TE40","0.0","0.0","0.0","28.4","272.7","2.3","0.4","40.1"
"Austin Hooper","NE","TE41","0.0","0.0","0.0","29.6","294.7","1.9","0.4","39.9"
"Khalil Herbert","NYJ","RB79","98.1","229.3","1.6","8.3","50.4","0.3","0.0","39.3"
"Devin Singletary","NYG","RB80","52.0","236.7","1.5","9.3","63.5","0.1","0.4","39.3"
"Devaughn Vele","NO","WR105","0.0","1.7","0.0","27.5","292.0","1.7","0.2","39.1"
"Will Shipley","PHI","RB81","40.2","214.5","1.4","9.2","68.1","0.5","0.1","38.9"
"Trevor Etienne","CAR","RB82","48.3","192.8","1.5","10.8","87.7","0.4","0.4","38.7"
"JuJu Smith-Schuster","KC","WR106","0.0","0.0","0.0","24.7","273.3","1.9","0.1","38.5"
"Jaleel McLaughlin","DEN","RB83","39.6","169.3","0.9","18.1","109.8","0.9","0.5","37.8"
"Michael Mayer","LV","TE42","0.0","0.0","0.0","28.5","262.1","1.8","0.1","36.8"
"Emanuel Wilson","GB","RB84","43.0","207.1","1.4","7.9","57.1","0.4","0.4","36.8"
"Jalen McMillan","TB","WR107","1.4","12.2","0.0","18.0","222.6","2.3","0.4","36.4"
"Sean Tucker","TB","RB85","45.2","232.1","1.4","5.3","41.0","0.4","0.7","36.3"
"Gabe Davis","BUF","WR108","0.0","0.0","0.0","17.0","242.0","2.0","0.0","36.2"
"Dawson Knox","BUF","TE43","0.0","0.0","0.0","21.9","237.8","1.9","0.0","35.2"
"Jaylin Noel","HOU","WR109","0.0","13.0","0.0","21.8","251.2","1.4","0.0","35.0"
"Terrance Ferguson","LAR","TE44","0.0","0.0","0.0","23.0","235.4","1.9","0.4","34.1"
"Jack Bech","LV","WR110","0.0","2.5","0.0","20.0","243.1","1.5","0.0","33.4"
"Robbie Ouzts","SEA","TE45","0.0","0.0","0.0","25.5","247.9","1.5","0.5","33.0"
"Chimere Dike","TEN","WR111","2.1","8.9","0.0","18.8","222.8","1.5","0.0","32.2"
"Foster Moreau","NO","TE46","0.0","0.0","0.0","19.1","217.9","1.5","0.0","30.9"
"Tyler Goodson","IND","RB86","52.6","180.9","1.1","5.7","37.8","0.4","0.0","30.5"
"David Moore","CAR","WR112","0.0","0.0","0.0","18.7","229.8","1.3","0.1","30.4"
"Demarcus Robinson","SF","WR113","0.0","0.8","0.0","12.7","194.1","1.8","0.0","30.3"
"DJ Giddens","IND","RB87","23.7","163.2","1.3","7.6","56.1","0.1","0.0","30.3"
"Dameon Pierce","KC","RB88","38.1","183.3","1.2","7.6","50.7","0.2","0.8","29.9"
"Isaiah Bond","CLE","WR114","0.0","0.0","0.0","18.3","221.5","1.3","0.0","29.7"
"Gunnar Helm","TEN","TE47","0.0","0.0","0.0","23.0","225.8","1.2","0.4","29.0"
"Oronde Gadsden II","LAC","TE48","0.0","0.0","0.0","19.1","195.5","1.6","0.1","28.8"
"Julius Chestnut","TEN","RB89","36.7","144.3","0.8","10.2","74.4","0.3","0.0","28.8"
"Jake Bobo","SEA","WR115","0.0","0.0","0.0","16.9","203.6","1.3","0.1","28.2"
"Tommy Tremble","CAR","TE49","0.0","0.0","0.0","19.3","184.6","1.7","0.4","27.9"
"Luke Musgrave","GB","TE50","0.0","0.0","0.0","19.3","187.0","1.4","0.0","27.1"
"Josh Oliver","MIN","TE51","0.0","0.0","0.0","17.0","179.5","1.5","0.0","27.1"
"Brock Wright","DET","TE52","0.0","0.0","0.0","15.0","135.2","2.2","0.0","26.5"
"A.J. Dillon","PHI","RB90","37.0","154.1","1.3","3.5","28.2","0.1","0.0","26.5"
"Ben Sinnott","WAS","TE53","0.0","0.0","0.0","17.7","174.2","1.5","0.0","26.1"
"Jahan Dotson","PHI","WR116","0.0","1.7","0.0","15.0","180.6","1.3","0.0","26.1"
"Parker Washington","JAC","WR117","0.0","5.7","0.0","17.6","186.9","1.2","0.1","26.0"
"Zay Jones","ARI","WR118","0.0","2.0","0.0","16.6","178.5","1.3","0.1","25.5"
"Hassan Haskins","LAC","RB91","28.3","117.6","0.9","7.7","58.8","0.5","0.3","25.2"
"Isaiah Davis","NYJ","RB92","30.8","152.1","0.9","4.9","35.6","0.1","0.0","24.5"
"Kalif Raymond","DET","WR119","0.0","4.0","0.0","14.5","182.3","1.1","0.6","24.3"
"Zavier Scott","MIN","RB93","32.0","153.0","1.0","3.0","29.0","0.0","0.0","24.2"
"Chris Brooks","GB","RB94","27.4","136.6","0.9","7.3","48.5","0.1","0.0","24.1"
"Olamide Zaccheaus","CHI","WR120","1.1","6.0","0.0","15.0","165.4","1.1","0.1","23.5"
"Cade Stover","HOU","TE54","0.0","0.0","0.0","16.9","161.0","1.2","0.0","23.4"
"Adam Trautman","DEN","TE55","0.0","0.0","0.0","13.5","146.8","1.5","0.0","23.4"
"Xavier Hutchinson","HOU","WR121","0.0","0.0","0.0","14.5","172.1","1.0","0.1","23.0"
"Jalen Royals","KC","WR122","0.0","2.5","0.0","13.8","155.4","1.2","0.0","22.7"
"Kyle Juszczyk","SF","RB95","5.9","24.2","0.3","14.4","136.8","0.8","0.4","22.4"
